Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3748222728.313,50.1630954742432,1350.10961914062,-0.300785637850462,0.000117057315900585
3748222739.2755,50.1617984771729,1399.89544677734,-0.295687942112183,0.000103691714245189
3748222750.213,50.160099029541,1450.10296630859,-0.291011259654138,0.000113868139371794
3748222761.3175,50.1605625152588,1500.09155273438,-0.285955967152207,0.000109851428439633
3748222772.2995,50.1603164672852,1550.16772460938,-0.281988872459862,0.00012371963832764
3748222783.304,50.158821105957,1600.05267333984,-0.277129305963828,9.98764350817866E-5
3748222794.2985,50.1592044830322,1650.01593017578,-0.273719736381605,9.97581101485001E-5
3748222805.2475,50.1580257415771,1700.06213378906,-0.26914196384573,9.44241419022621E-5
3748222816.1995,50.1574153900146,1750.25134277344,-0.266581055136296,0.000122504838330036
3748222827.2035,50.1571769714355,1800.04174804687,-0.262182079496816,8.32314064966367E-5
3748222838.1845,50.157039642334,1850.20306396484,-0.259008502848493,9.87546325789154E-5
3748222849.161,50.1560115814209,1900.12487792969,-0.256088066391559,9.01279820621609E-5
3748222860.2045,50.1545944213867,1950.08343505859,-0.253310683062894,8.96206544800144E-5
3748222871.1595,50.1555976867676,2000.10211181641,-0.250219345382071,9.09107645971165E-5
3748222882.1275,50.153715133667,2050.17590332031,-0.247365468411849,8.87683595474412E-5
3748222893.131,50.1541996002197,2100.09765625,-0.244700280149541,8.30546206617818E-5
3748222904.159,50.1532135009766,2150.01257324219,-0.242224958386349,7.23450577165567E-5
3748222915.173,50.1533317565918,2200.134765625,-0.239430961860375,8.24516522925464E-5
3748222926.1755,50.151575088501,2250.15112304687,-0.236872176294433,7.67564431486416E-5
3748222937.144,50.1519260406494,2300.17211914062,-0.235046394398426,8.76186558740462E-5
3748222948.1175,50.1505718231201,2350.05932617187,-0.232769584218089,6.84824219781494E-5
3748222959.15,50.1510314941406,2400.00866699219,-0.230286722063515,5.9431980820753E-5
3748222970.1515,50.1509284973145,2450.07568359375,-0.228528386861242,6.34777053882082E-5
3748222981.106,50.1500263214111,2500.00207519531,-0.226845712550579,7.10402755972842E-5
3748222992.1495,50.1501216888428,2550.13818359375,-0.224852420403403,9.08716479137283E-5
3748223003.1045,50.1488590240479,2600.15673828125,-0.222856705534009,6.14107277334326E-5
3748223014.069,50.1481914520264,2650.13146972656,-0.221454962155304,7.59457767423128E-5
3748223038.545,50.1487464904785,2700.00952148438,,
3748223049.3935,50.1442031860352,2700.00036621094,-0.211319110429745,6.6943134500646E-5
3748223060.002,50.1478977203369,2750.05578613281,-0.217929119259748,8.47739103422016E-5
3748223071.053,50.1495895385742,2800.17102050781,-0.216748148468343,9.39105553329916E-5
3748223082.0045,50.1487331390381,2849.96838378906,-0.214230814162872,6.17950396566313E-5
3748223093.008,50.148078918457,2900.13439941406,-0.212706495940566,6.97260556268006E-5
3748223104.0525,50.1472282409668,2950.16442871094,-0.211511801410578,7.56695015107386E-5
3748223113.9945,50.1467609405518,2999.9873046875,-0.211135120477984,7.66891645791415E-5
3748223124.986,50.1455783843994,3050.04028320313,-0.208745742147243,5.45390736666083E-5
3748223135.9725,50.1464614868164,3100.1142578125,-0.207047215097785,5.59713469799854E-5
3748223146.9885,50.1451606750488,3149.96691894531,-0.206117306063764,4.48329875403707E-5
3748223157.9855,50.1444797515869,3200.19299316406,-0.204671588026716,6.28208148823564E-5
3748223169,50.1437969207764,3249.99951171875,-0.203653214313685,5.76842647804193E-5
3748223184.8695,50.1432228088379,3299.98815917969,-0.200337084373531,4.13152409462826E-5
3748223196.25,50.1423397064209,3350.14709472656,-0.200929835329558,5.99661369743478E-5
3748223207.1695,50.1413402557373,3400.14050292969,-0.199846700193465,5.95980253577502E-5
3748223219.2715,50.1416568756103,3450.01623535156,-0.197506932150628,4.71555436674471E-5
3748223230.275,50.1412162780762,3500.01867675781,-0.198020187643641,5.63732233356226E-5
3748223240.986,50.14040184021,3550.1201171875,-0.196594249349834,5.11627962124908E-5
3748223251.8865,50.1400127410889,3600.26538085937,-0.195057892365826,6.03033097464485E-5
3748223263.0515,50.1399669647217,3650.21948242188,-0.194733934425749,6.59250549286955E-5
3748223273.8735,50.1392955780029,3700.0537109375,-0.192992863149903,4.53204184680361E-5
3748223284.884,50.139009475708,3750.26354980469,-0.192115222172929,6.24311676498187E-5
3748223294.957,50.1390743255615,3799.98486328125,-0.191695084437872,6.80127794079175E-5
3748223305.8715,50.1382389068604,3849.98718261719,-0.19045571507802,4.50874902127946E-5
3748223316.9535,50.1387882232666,3900.16235351562,-0.189335922196181,6.10280437623154E-5
3748223327.7955,50.1374130249023,3950.2294921875,-0.188784204837864,5.70732898361437E-5
3748223338.791,50.1371917724609,3999.97143554687,-0.187284259268746,3.75329646866283E-5
3748223349.8455,50.1378498077393,4050.22961425781,-0.186746724826359,5.05811572687352E-5
3748223360.819,50.1364040374756,4100.158203125,-0.185756921634833,4.95793094489024E-5
3748223371.7485,50.1363124847412,4150.24829101562,-0.18528647318102,8.00292939168776E-5
3748223382.781,50.1367378234863,4200.01806640625,-0.184004860064519,3.69927764156876E-5
3748223393.824,50.1357269287109,4250.12866210937,-0.183027825166198,4.68128336829189E-5
3748223404.754,50.1355304718018,4300.23022460937,-0.18252741555029,6.84501404181083E-5
3748223415.7835,50.1350402832031,4350.2880859375,-0.182048202385137,6.58358227650884E-5
3748223426.7695,50.1355781555176,4400.3203125,-0.181087793081344,4.30363259273466E-5
3748223438.7825,50.1350936889648,4450.11767578125,-0.179309971954067,4.49494822497401E-5
3748223449.8555,50.1346893310547,4500.13842773438,-0.179648043636287,4.56517351702615E-5
3748223461.758,50.1347122192383,4550.04907226562,-0.177994225585618,3.87630636121252E-5
3748223472.7605,50.1340599060059,4600.05859375,-0.177724601256778,4.48540948080957E-5
3748223482.7705,50.1338577270508,4650.3330078125,-0.178188594404682,6.6131572018794E-5
3748223493.755,50.1335525512695,4699.93212890625,-0.176206899150283,3.1426909016249E-5
3748223505.68,50.1331100463867,4750.0244140625,-0.175106071543034,3.61114749290691E-5
3748223516.755,50.1326446533203,4800.26879882812,-0.175286494024653,4.06927786854954E-5
3748223527.693,50.1320171356201,4850.07983398438,-0.174486656775512,3.94966435837306E-5
3748223538.7505,50.1324348449707,4900.31274414063,-0.174107812326446,5.1679994116562E-5
3748223549.7125,50.1321411132812,4950.15161132812,-0.173126322528476,3.82452066435708E-5
3748223560.6525,50.1318016052246,5000.0849609375,-0.172923074144406,3.54262367985582E-5
3748223571.6205,50.1308040618897,5050.01806640625,-0.17192442121434,4.00443290878481E-5
3748223581.644,50.1314964294434,5100.04370117188,-0.171963577929037,5.63732420605664E-5
3748223592.581,50.1309700012207,5150.25341796875,-0.170884785830698,5.35298523336307E-5
